Date,Open,High,Low,Close,Adj Close,Volume
2019-05-08,114.400002,120.500000,110.099998,116.300003,116.300003,43462525
2019-05-09,117.000000,120.199997,115.000000,116.000000,116.000000,22773577
2019-05-10,118.000000,119.400002,115.099998,116.400002,116.400002,14732475
2019-05-13,116.000000,116.000000,110.099998,110.949997,110.949997,17593462
2019-05-14,108.000000,119.650002,106.000000,117.099998,117.099998,33435442
2019-05-15,116.000000,116.500000,106.000000,107.849998,107.849998,24005993
2019-05-16,108.900002,109.000000,102.250000,106.900002,106.900002,21296095
2019-05-17,112.500000,116.300003,109.199997,112.750000,112.750000,24796109
2019-05-20,118.000000,126.400002,117.099998,124.849998,124.849998,27597047
2019-05-21,128.000000,132.000000,122.400002,130.000000,130.000000,24776384
2019-05-22,117.000000,121.750000,106.849998,117.550003,117.550003,59919874
2019-05-23,123.000000,124.699997,114.800003,115.750000,115.750000,19618606
2019-05-24,116.449997,122.300003,115.099998,120.599998,120.599998,17800930
2019-05-27,120.599998,123.449997,115.300003,119.150002,119.150002,11443172
2019-05-28,119.250000,126.000000,110.750000,114.800003,114.800003,46825143
2019-05-29,112.500000,119.500000,112.500000,115.900002,115.900002,20658578
2019-05-30,115.599998,118.500000,109.650002,114.449997,114.449997,23340526
2019-05-31,115.150002,116.000000,110.650002,111.550003,111.550003,17194815
2019-06-03,112.400002,115.000000,111.349998,113.199997,113.199997,15059094
2019-06-04,113.800003,115.750000,111.099998,111.750000,111.750000,14080996
2019-06-06,100.599998,100.599998,91.300003,93.949997,93.949997,64964370
2019-06-07,91.099998,93.199997,80.099998,83.300003,83.300003,83601446
2019-06-10,87.000000,91.500000,85.000000,89.550003,89.550003,54696538
2019-06-11,91.750000,92.900002,86.550003,90.150002,90.150002,35946817
2019-06-12,95.900002,96.000000,91.599998,93.250000,93.250000,32670799
2019-06-13,91.800003,91.800003,82.000000,84.349998,84.349998,38398075
2019-06-14,83.550003,83.900002,76.650002,80.750000,80.750000,34285125
2019-06-17,81.050003,84.949997,75.500000,76.550003,76.550003,33841217
2019-06-18,74.900002,74.900002,62.650002,64.949997,64.949997,46820144
2019-06-19,62.250000,74.650002,60.150002,63.000000,63.000000,48191633
2019-06-20,61.500000,70.300003,59.750000,69.250000,69.250000,41873993
2019-06-21,69.599998,76.650002,67.699997,73.199997,73.199997,46362785
2019-06-24,73.000000,80.900002,72.000000,78.699997,78.699997,40869645
2019-06-25,78.849998,80.599998,74.400002,75.449997,75.449997,28324966
2019-06-26,70.300003,81.699997,68.599998,79.750000,79.750000,58016327
2019-06-27,80.599998,83.449997,79.099998,81.550003,81.550003,30541388
